A,B,Trips,,,
92,93,98,,,
94,93,190,,,
95,93,1,,,
101,93,1,,,
107,93,1,,,
127,93,1,,,
129,93,1,,,
148,93,4,,,
165,93,1,,,
8,94,1,,,
9,94,1,,,
14,94,3,,,
35,94,5,,,
37,94,3,,,
49,94,3,,,
71,94,2,,,
92,94,45,,,
93,94,181,,,
95,94,3,,,
106,94,1,,,
107,94,1,,,
108,94,3,,,
148,94,1,,,
163,94,1,,,
164,94,12,,,
165,94,7,,,
92,95,1,,,
93,95,1,,,
94,95,3,,,
65,97,1,,,
67,97,1,,,
68,97,3,,,
67,98,1,,,
69,98,6,,,
70,98,1,,,
79,98,1,,,
100,98,1,,,
108,98,1,,,
110,98,1,,,
120,98,1,,,
130,98,1,,,
86,99,1,,,
98,99,1,,,
84,100,1,,,
86,100,2,,,
98,100,1,,,
126,100,1,,,
143,100,1,,,
23,101,2,,,
39,101,1,,,
48,101,1,,,
59,101,1,,,
87,101,1,,,
89,101,1,,,
102,101,13,,,
105,101,6,,,
106,101,20,,,
107,101,3,,,
108,101,2,,,
109,101,1,,,
118,101,3,,,
139,101,16,,,
140,101,4,,,
143,101,1,,,
151,101,1,,,
154,101,4,,,
166,101,3,,,
167,101,4,,,
176,101,1,,,
177,101,4,,,
180,101,3,,,
181,101,4,,,
8,102,20,,,
9,102,10,,,
20,102,23,,,
21,102,19,,,
22,102,7,,,
23,102,6,,,
38,102,1,,,
39,102,3,,,
47,102,4,,,
48,102,4,,,
53,102,1,,,
58,102,3,,,
71,102,1,,,
72,102,2,,,
82,102,1,,,
84,102,4,,,
85,102,1,,,
86,102,1,,,
87,102,1,,,
90,102,3,,,
91,102,2,,,
101,102,14,,,
104,102,1,,,
105,102,2,,,
106,102,9,,,
107,102,15,,,
108,102,11,,,
109,102,2,,,
110,102,1,,,
116,102,2,,,
117,102,2,,,
118,102,6,,,
125,102,3,,,
139,102,23,,,
140,102,1,,,
143,102,7,,,
151,102,4,,,
152,102,3,,,
166,102,19,,,
167,102,17,,,
168,102,27,,,
170,102,1,,,
171,102,1,,,
173,102,1,,,
176,102,7,,,
177,102,10,,,
179,102,2,,,
180,102,2,,,
181,102,1,,,
73,103,1,,,
117,103,1,,,
8,104,1,,,
21,104,1,,,
22,104,1,,,
24,104,6,,,
25,104,28,,,
46,104,3,,,
47,104,2,,,
48,104,4,,,
53,104,1,,,
56,104,3,,,
59,104,2,,,
77,104,1,,,
81,104,18,,,
82,104,15,,,
84,104,2,,,
85,104,1,,,
86,104,2,,,
87,104,1,,,
107,104,13,,,
108,104,14,,,
109,104,2,,,
111,104,2,,,
116,104,2,,,
117,104,1,,,
118,104,1,,,
119,104,19,,,
120,104,18,,,
124,104,8,,,
125,104,5,,,
139,104,2,,,
142,104,1,,,
143,104,8,,,
147,104,1,,,
151,104,1,,,
152,104,4,,,
166,104,1,,,
170,104,2,,,
171,104,1,,,
173,104,5,,,
174,104,1,,,
176,104,7,,,
177,104,3,,,
21,105,1,,,
22,105,1,,,
34,105,1,,,
38,105,1,,,
48,105,1,,,
53,105,1,,,
71,105,2,,,
84,105,1,,,
87,105,5,,,
89,105,40,,,
90,105,5,,,
91,105,1,,,
92,105,1,,,
101,105,7,,,
102,105,4,,,
106,105,44,,,
107,105,6,,,
108,105,2,,,
109,105,1,,,
116,105,1,,,
117,105,1,,,
127,105,2,,,
167,105,6,,,
168,105,2,,,
180,105,40,,,
181,105,1,,,
183,105,5,,,
8,106,2,,,
9,106,1,,,
20,106,3,,,
21,106,3,,,
22,106,1,,,
23,106,1,,,
39,106,1,,,
47,106,1,,,
48,106,2,,,
53,106,1,,,
54,106,1,,,
71,106,3,,,
72,106,1,,,
87,106,1,,,
89,106,29,,,
90,106,28,,,
91,106,12,,,
101,106,20,,,
102,106,10,,,
105,106,46,,,
107,106,5,,,
108,106,2,,,
116,106,1,,,
117,106,3,,,
118,106,5,,,
124,106,1,,,
128,106,1,,,
139,106,2,,,
140,106,1,,,
142,106,2,,,
143,106,2,,,
147,106,1,,,
152,106,2,,,
166,106,14,,,
167,106,28,,,
168,106,11,,,
170,106,2,,,
176,106,1,,,
180,106,35,,,
181,106,2,,,
183,106,1,,,
4,107,1,,,
8,107,16,,,
9,107,6,,,
15,107,8,,,
16,107,19,,,
17,107,3,,,
20,107,5,,,
21,107,17,,,
22,107,18,,,
23,107,7,,,
24,107,6,,,
25,107,6,,,
37,107,4,,,
39,107,4,,,
46,107,4,,,
47,107,13,,,
48,107,13,,,
54,107,7,,,
56,107,4,,,
58,107,14,,,
59,107,7,,,
67,107,3,,,
70,107,1,,,
71,107,4,,,
72,107,6,,,
73,107,2,,,
76,107,1,,,
81,107,5,,,
82,107,20,,,
84,107,4,,,
85,107,2,,,
86,107,9,,,
87,107,13,,,
88,107,4,,,
89,107,1,,,
90,107,3,,,
91,107,5,,,
93,107,1,,,
94,107,1,,,
101,107,4,,,
102,107,15,,,
104,107,13,,,
105,107,3,,,
106,107,4,,,
108,107,83,,,
109,107,13,,,
110,107,1,,,
111,107,1,,,
116,107,7,,,
117,107,2,,,
118,107,9,,,
119,107,24,,,
120,107,11,,,
122,107,4,,,
124,107,9,,,
125,107,18,,,
126,107,1,,,
127,107,2,,,
128,107,1,,,
129,107,1,,,
138,107,4,,,
139,107,1,,,
140,107,3,,,
142,107,15,,,
143,107,21,,,
147,107,3,,,
151,107,21,,,
152,107,9,,,
166,107,10,,,
167,107,6,,,
168,107,8,,,
169,107,2,,,
170,107,3,,,
171,107,1,,,
173,107,1,,,
174,107,2,,,
176,107,27,,,
177,107,21,,,
180,107,2,,,
183,107,2,,,
4,108,1,,,
5,108,1,,,
7,108,1,,,
8,108,7,,,
9,108,4,,,
15,108,9,,,
16,108,8,,,
17,108,1,,,
20,108,10,,,
21,108,13,,,
22,108,21,,,
23,108,5,,,
24,108,4,,,
25,108,2,,,
35,108,2,,,
37,108,1,,,
46,108,2,,,
47,108,14,,,
48,108,10,,,
54,108,3,,,
57,108,2,,,
58,108,7,,,
59,108,4,,,
71,108,1,,,
72,108,3,,,
73,108,2,,,
76,108,1,,,
81,108,1,,,
82,108,4,,,
84,108,5,,,
85,108,1,,,
86,108,9,,,
87,108,6,,,
88,108,1,,,
89,108,4,,,
90,108,2,,,
91,108,5,,,
94,108,1,,,
102,108,16,,,
104,108,17,,,
105,108,2,,,
106,108,2,,,
107,108,77,,,
109,108,6,,,
111,108,1,,,
117,108,1,,,
118,108,10,,,
119,108,12,,,
120,108,5,,,
124,108,22,,,
125,108,11,,,
126,108,5,,,
127,108,1,,,
128,108,1,,,
129,108,2,,,
138,108,1,,,
139,108,4,,,
140,108,1,,,
142,108,15,,,
143,108,24,,,
147,108,2,,,
151,108,17,,,
152,108,16,,,
166,108,5,,,
167,108,2,,,
168,108,4,,,
170,108,3,,,
171,108,3,,,
173,108,1,,,
174,108,2,,,
176,108,45,,,
177,108,26,,,
180,108,1,,,
4,109,1,,,
8,109,1,,,
9,109,1,,,
15,109,2,,,
16,109,2,,,
22,109,5,,,
23,109,1,,,
24,109,1,,,
25,109,1,,,
46,109,1,,,
47,109,1,,,
48,109,1,,,
53,109,3,,,
54,109,2,,,
58,109,2,,,
59,109,3,,,
71,109,2,,,
72,109,2,,,
81,109,1,,,
84,109,1,,,
85,109,1,,,
86,109,1,,,
87,109,2,,,
90,109,4,,,
102,109,1,,,
104,109,1,,,
107,109,15,,,
108,109,5,,,
116,109,1,,,
117,109,1,,,
118,109,1,,,
120,109,2,,,
143,109,6,,,
147,109,1,,,
151,109,7,,,
152,109,1,,,
165,109,3,,,
166,109,1,,,
168,109,2,,,
171,109,1,,,
173,109,3,,,
176,109,2,,,
8,110,1,,,
17,110,1,,,
24,110,3,,,
25,110,1,,,
81,110,3,,,
84,110,1,,,
85,110,1,,,
86,110,7,,,
90,110,1,,,
102,110,1,,,
107,110,1,,,
119,110,1,,,
120,110,2,,,
124,110,1,,,
125,110,2,,,
126,110,2,,,
142,110,2,,,
143,110,1,,,
173,110,1,,,
177,110,1,,,
7,111,1,,,
24,111,13,,,
25,111,1,,,
48,111,1,,,
50,111,1,,,
67,111,2,,,
81,111,1,,,
82,111,1,,,
85,111,1,,,
86,111,3,,,
104,111,2,,,
107,111,1,,,
108,111,1,,,
121,111,4,,,
126,111,2,,,
143,111,5,,,
173,111,1,,,
9,112,1,,,
38,112,1,,,
48,112,1,,,
64,112,2,,,
73,112,2,,,
157,112,6,,,
177,112,1,,,
69,113,1,,,
70,113,1,,,
73,113,1,,,
85,113,1,,,
105,113,1,,,
116,113,1,,,
169,113,1,,,
73,114,4,,,
73,115,15,,,
8,116,1,,,
9,116,1,,,
15,116,4,,,
16,116,2,,,
20,116,1,,,
21,116,2,,,
22,116,3,,,
23,116,1,,,
37,116,6,,,
38,116,1,,,
39,116,4,,,
47,116,2,,,
53,116,1,,,
54,116,2,,,
58,116,8,,,
59,116,17,,,
71,116,4,,,
72,116,11,,,
82,116,3,,,
84,116,1,,,
87,116,30,,,
88,116,6,,,
89,116,2,,,
90,116,5,,,
91,116,5,,,
102,116,2,,,
105,116,1,,,
107,116,6,,,
108,116,2,,,
109,116,4,,,
117,116,14,,,
118,116,34,,,
119,116,4,,,
120,116,2,,,
127,116,1,,,
128,116,2,,,
142,116,3,,,
143,116,2,,,
151,116,25,,,
152,116,1,,,
166,116,2,,,
167,116,1,,,
168,116,4,,,
173,116,1,,,
176,116,1,,,
177,116,1,,,
180,116,2,,,
10,117,3,,,
15,117,4,,,
16,117,1,,,
20,117,1,,,
21,117,2,,,
22,117,2,,,
23,117,1,,,
35,117,1,,,
37,117,2,,,
39,117,4,,,
54,117,1,,,
58,117,1,,,
59,117,4,,,
71,117,20,,,
72,117,18,,,
87,117,5,,,
89,117,8,,,
90,117,16,,,
91,117,22,,,
106,117,2,,,
107,117,2,,,
108,117,1,,,
109,117,1,,,
116,117,11,,,
118,117,56,,,
125,117,3,,,
127,117,1,,,
128,117,1,,,
142,117,3,,,
143,117,2,,,
151,117,7,,,
167,117,5,,,
168,117,11,,,
176,117,2,,,
180,117,4,,,
9,118,3,,,
13,118,1,,,
15,118,3,,,
16,118,5,,,
20,118,7,,,
21,118,14,,,
22,118,3,,,
23,118,2,,,
37,118,4,,,
38,118,3,,,
39,118,5,,,
53,118,1,,,
54,118,1,,,
57,118,1,,,
58,118,3,,,
59,118,4,,,
71,118,5,,,
72,118,17,,,
87,118,16,,,
88,118,3,,,
89,118,7,,,
90,118,24,,,
91,118,14,,,
92,118,1,,,
101,118,2,,,
102,118,15,,,
104,118,1,,,
105,118,1,,,
106,118,2,,,
107,118,13,,,
108,118,12,,,
116,118,39,,,
117,118,65,,,
140,118,2,,,
142,118,3,,,
143,118,5,,,
151,118,30,,,
152,118,5,,,
166,118,10,,,
167,118,12,,,
168,118,23,,,
169,118,1,,,
170,118,1,,,
171,118,1,,,
176,118,4,,,
177,118,5,,,
180,118,1,,,
8,119,3,,,
20,119,1,,,
21,119,1,,,
23,119,1,,,
24,119,10,,,
25,119,3,,,
47,119,2,,,
48,119,2,,,
56,119,2,,,
71,119,1,,,
81,119,2,,,
82,119,4,,,
84,119,7,,,
85,119,2,,,
86,119,6,,,
104,119,19,,,
107,119,20,,,
108,119,14,,,
109,119,2,,,
110,119,1,,,
116,119,3,,,
118,119,3,,,
120,119,58,,,
124,119,11,,,
125,119,14,,,
126,119,6,,,
139,119,1,,,
142,119,1,,,
143,119,3,,,
151,119,2,,,
152,119,2,,,
173,119,1,,,
174,119,2,,,
176,119,7,,,
177,119,5,,,
9,120,3,,,
15,120,1,,,
17,120,1,,,
20,120,1,,,
24,120,12,,,
25,120,3,,,
48,120,1,,,
58,120,1,,,
81,120,1,,,
82,120,1,,,
84,120,11,,,
85,120,6,,,
86,120,3,,,
104,120,17,,,
107,120,11,,,
108,120,6,,,
109,120,2,,,
110,120,2,,,
116,120,1,,,
119,120,59,,,
124,120,2,,,
125,120,12,,,
126,120,4,,,
143,120,2,,,
152,120,2,,,
167,120,2,,,
170,120,2,,,
173,120,2,,,
176,120,3,,,
177,120,3,,,
180,120,1,,,
5,121,1,,,
70,121,1,,,
82,121,3,,,
86,121,1,,,
111,121,4,,,
4,122,5,,,
7,122,1,,,
89,122,1,,,
4,123,2,,,
5,123,1,,,
8,124,2,,,
9,124,2,,,
11,124,2,,,
16,124,1,,,
21,124,2,,,
22,124,1,,,
23,124,5,,,
24,124,2,,,
37,124,1,,,
47,124,10,,,
48,124,3,,,
59,124,1,,,
81,124,2,,,
84,124,3,,,
85,124,1,,,
86,124,1,,,
87,124,1,,,
89,124,1,,,
92,124,1,,,
104,124,7,,,
106,124,1,,,
107,124,10,,,
108,124,25,,,
110,124,1,,,
117,124,1,,,
119,124,12,,,
120,124,1,,,
125,124,38,,,
126,124,4,,,
142,124,3,,,
143,124,4,,,
151,124,1,,,
166,124,2,,,
168,124,2,,,
171,124,3,,,
176,124,13,,,
177,124,1,,,
8,125,5,,,
9,125,2,,,
20,125,1,,,
22,125,3,,,
23,125,1,,,
24,125,7,,,
25,125,3,,,
35,125,1,,,
47,125,3,,,
48,125,10,,,
56,125,1,,,
58,125,1,,,
72,125,1,,,
82,125,2,,,
84,125,4,,,
85,125,1,,,
86,125,1,,,
91,125,1,,,
102,125,2,,,
104,125,2,,,
107,125,15,,,
108,125,11,,,
110,125,2,,,
117,125,1,,,
119,125,13,,,
120,125,5,,,
124,125,34,,,
126,125,23,,,
139,125,3,,,
140,125,2,,,
142,125,4,,,
143,125,2,,,
151,125,3,,,
166,125,2,,,
170,125,1,,,
171,125,5,,,
173,125,2,,,
176,125,8,,,
8,126,6,,,
24,126,4,,,
48,126,6,,,
84,126,20,,,
86,126,1,,,
100,126,1,,,
107,126,3,,,
108,126,6,,,
110,126,2,,,
111,126,1,,,
112,126,1,,,
119,126,7,,,
120,126,9,,,
124,126,4,,,
125,126,24,,,
142,126,1,,,
143,126,1,,,
167,126,1,,,
169,126,1,,,
170,126,1,,,
171,126,2,,,
8,127,1,,,
16,127,2,,,
22,127,1,,,
25,127,1,,,
35,127,2,,,
36,127,2,,,
37,127,2,,,
38,127,1,,,
40,127,1,,,
53,127,3,,,
54,127,27,,,
71,127,4,,,
72,127,3,,,
82,127,1,,,
87,127,2,,,
88,127,1,,,
89,127,2,,,
105,127,1,,,
106,127,1,,,
108,127,5,,,
116,127,1,,,
117,127,1,,,
128,127,41,,,
129,127,12,,,
148,127,1,,,
15,128,1,,,
22,128,1,,,
53,128,3,,,
54,128,8,,,
71,128,1,,,
87,128,2,,,
107,128,1,,,
108,128,1,,,
116,128,4,,,
127,128,45,,,
129,128,15,,,
142,128,1,,,
143,128,1,,,
151,128,1,,,
152,128,1,,,
171,128,1,,,
16,129,5,,,
37,129,1,,,
39,129,1,,,
53,129,2,,,
54,129,76,,,
59,129,2,,,
72,129,2,,,
87,129,5,,,
88,129,5,,,
89,129,1,,,
108,129,1,,,
116,129,1,,,
127,129,14,,,
128,129,18,,,
143,129,2,,,
147,129,1,,,
176,129,1,,,
177,129,1,,,
64,130,4,,,
66,130,4,,,
67,130,2,,,
68,130,5,,,
70,130,2,,,
98,130,1,,,
125,131,1,,,
147,133,2,,,
103,134,1,,,
74,135,4,,,
101,135,2,,,
169,135,1,,,
83,136,1,,,
4,137,2,,,
17,138,9,,,
46,138,10,,,
56,138,34,,,
57,138,17,,,
76,138,2,,,
81,138,1,,,
104,138,1,,,
107,138,3,,,
108,138,1,,,
147,138,57,,,
175,138,1,,,
8,139,9,,,
9,139,41,,,
20,139,1,,,
22,139,1,,,
40,139,2,,,
47,139,5,,,
48,139,12,,,
58,139,1,,,
85,139,1,,,
87,139,1,,,
89,139,1,,,
90,139,1,,,
101,139,15,,,
102,139,17,,,
106,139,5,,,
107,139,1,,,
108,139,3,,,
140,139,25,,,
141,139,3,,,
142,139,1,,,
152,139,1,,,
166,139,3,,,
168,139,2,,,
169,139,3,,,
176,139,3,,,
180,139,2,,,
8,140,4,,,
9,140,31,,,
22,140,1,,,
25,140,1,,,
48,140,1,,,
66,140,1,,,
73,140,1,,,
90,140,1,,,
93,140,1,,,
101,140,4,,,
102,140,1,,,
104,140,1,,,
106,140,1,,,
107,140,4,,,
108,140,1,,,
117,140,1,,,
118,140,2,,,
119,140,1,,,
139,140,18,,,
141,140,4,,,
143,140,2,,,
151,140,4,,,
167,140,1,,,
169,140,3,,,
170,140,8,,,
171,140,7,,,
176,140,2,,,
9,141,1,,,
24,141,1,,,
102,141,1,,,
139,141,2,,,
140,141,5,,,
143,141,1,,,
168,141,2,,,
169,141,3,,,
171,141,1,,,
8,142,1,,,
9,142,1,,,
15,142,9,,,
16,142,5,,,
21,142,4,,,
22,142,4,,,
24,142,2,,,
47,142,3,,,
54,142,2,,,
58,142,50,,,
59,142,2,,,
72,142,1,,,
78,142,1,,,
81,142,1,,,
87,142,10,,,
88,142,2,,,
91,142,1,,,
106,142,2,,,
107,142,12,,,
108,142,10,,,
109,142,1,,,
110,142,1,,,
116,142,5,,,
117,142,3,,,
118,142,5,,,
119,142,1,,,
124,142,6,,,
125,142,1,,,
126,142,1,,,
128,142,2,,,
129,142,1,,,
143,142,14,,,
151,142,11,,,
152,142,20,,,
166,142,1,,,
168,142,1,,,
170,142,1,,,
176,142,2,,,
177,142,7,,,
6,143,1,,,
8,143,1,,,
9,143,2,,,
15,143,3,,,
16,143,4,,,
17,143,1,,,
21,143,1,,,
22,143,5,,,
23,143,1,,,
25,143,1,,,
35,143,2,,,
47,143,1,,,
48,143,4,,,
54,143,4,,,
57,143,2,,,
58,143,16,,,
59,143,4,,,
72,143,2,,,
73,143,1,,,
77,143,1,,,
81,143,1,,,
82,143,6,,,
85,143,3,,,
86,143,1,,,
87,143,4,,,
88,143,5,,,
89,143,1,,,
91,143,2,,,
100,143,1,,,
101,143,2,,,
102,143,8,,,
104,143,13,,,
106,143,2,,,
107,143,20,,,
108,143,24,,,
109,143,6,,,
110,143,1,,,
111,143,5,,,
116,143,2,,,
117,143,1,,,
118,143,5,,,
119,143,3,,,
120,143,1,,,
124,143,4,,,
125,143,3,,,
126,143,1,,,
129,143,2,,,
140,143,1,,,
141,143,1,,,
142,143,15,,,
147,143,5,,,
151,143,6,,,
152,143,7,,,
154,143,1,,,
168,143,1,,,
169,143,2,,,
171,143,1,,,
173,143,1,,,
176,143,7,,,
177,143,3,,,
5,144,1,,,
3,145,2,,,
4,145,3,,,
5,145,1,,,
17,146,2,,,
46,146,2,,,
56,146,1,,,
76,146,8,,,
147,146,3,,,
4,147,3,,,
17,147,54,,,
25,147,2,,,
46,147,45,,,
56,147,153,,,
57,147,40,,,
76,147,19,,,
77,147,2,,,
82,147,1,,,
90,147,1,,,
104,147,1,,,
106,147,1,,,
107,147,3,,,
108,147,3,,,
109,147,1,,,
111,147,1,,,
120,147,1,,,
138,147,54,,,
142,147,1,,,
143,147,2,,,
146,147,2,,,
154,147,12,,,
155,147,3,,,
175,147,1,,,
11,148,1,,,
92,148,2,,,
93,148,2,,,
94,148,1,,,
129,148,1,,,
149,148,1,,,
102,149,1,,,
148,149,1,,,
8,151,3,,,
9,151,1,,,
15,151,3,,,
16,151,8,,,
20,151,4,,,
21,151,29,,,
22,151,17,,,
23,151,2,,,
35,151,1,,,
37,151,3,,,
38,151,1,,,
39,151,2,,,
54,151,2,,,
58,151,62,,,
59,151,18,,,
71,151,2,,,
72,151,9,,,
73,151,1,,,
82,151,1,,,
83,151,2,,,
87,151,10,,,
88,151,1,,,
89,151,2,,,
90,151,1,,,
91,151,1,,,
101,151,1,,,
102,151,3,,,
107,151,24,,,
108,151,17,,,
109,151,7,,,
116,151,23,,,
117,151,6,,,
118,151,31,,,
119,151,2,,,
124,151,1,,,
125,151,2,,,
127,151,2,,,
128,151,1,,,
129,151,2,,,
139,151,2,,,
142,151,7,,,
143,151,5,,,
152,151,23,,,
155,151,1,,,
166,151,9,,,
167,151,4,,,
168,151,8,,,
176,151,6,,,
177,151,7,,,
180,151,1,,,
8,152,4,,,
11,152,2,,,
15,152,7,,,
16,152,2,,,
21,152,4,,,
22,152,12,,,
23,152,1,,,
24,152,1,,,
25,152,1,,,
38,152,1,,,
47,152,2,,,
48,152,4,,,
54,152,1,,,
58,152,9,,,
59,152,1,,,
72,152,1,,,
82,152,1,,,
85,152,1,,,
87,152,4,,,
89,152,3,,,
91,152,1,,,
102,152,3,,,
104,152,5,,,
106,152,1,,,
107,152,11,,,
108,152,17,,,
109,152,2,,,
116,152,1,,,
117,152,2,,,
118,152,4,,,
119,152,2,,,
120,152,3,,,
128,152,1,,,
139,152,1,,,
142,152,24,,,
143,152,8,,,
151,152,15,,,
166,152,2,,,
168,152,1,,,
173,152,1,,,
176,152,4,,,
177,152,16,,,
180,152,1,,,
25,153,2,,,
64,153,1,,,
73,153,10,,,
75,153,5,,,
85,153,1,,,
93,153,1,,,
114,153,1,,,
118,153,1,,,
157,153,1,,,
15,154,1,,,
17,154,3,,,
25,154,1,,,
56,154,8,,,
57,154,1,,,
90,154,1,,,
147,154,12,,,
155,154,6,,,
4,155,1,,,
8,155,1,,,
23,155,1,,,
57,155,1,,,
76,155,1,,,
120,155,1,,,
138,155,1,,,
55,156,1,,,
73,157,1,,,
76,157,2,,,
153,157,1,,,
133,160,2,,,
92,161,1,,,
49,164,2,,,
94,164,8,,,
165,164,2,,,
51,165,1,,,
59,165,1,,,
92,165,2,,,
93,165,1,,,
94,165,7,,,
8,166,3,,,
9,166,1,,,
16,166,2,,,
20,166,30,,,
21,166,19,,,
22,166,8,,,
23,166,4,,,
39,166,1,,,
46,166,1,,,
47,166,2,,,
48,166,1,,,
54,166,2,,,
56,166,1,,,
71,166,2,,,
73,166,1,,,
85,166,1,,,
87,166,1,,,
89,166,6,,,
90,166,2,,,
91,166,3,,,
92,166,1,,,
93,166,1,,,
101,166,6,,,
102,166,23,,,
104,166,1,,,
105,166,1,,,
106,166,12,,,
107,166,11,,,
108,166,3,,,
116,166,1,,,
118,166,18,,,
124,166,2,,,
139,166,2,,,
151,166,10,,,
152,166,1,,,
167,166,11,,,
168,166,52,,,
170,166,1,,,
176,166,4,,,
177,166,1,,,
180,166,5,,,
183,166,2,,,
8,167,2,,,
16,167,1,,,
20,167,8,,,
21,167,4,,,
22,167,4,,,
37,167,2,,,
47,167,1,,,
48,167,1,,,
54,167,1,,,
58,167,3,,,
72,167,3,,,
73,167,1,,,
87,167,3,,,
88,167,1,,,
89,167,5,,,
90,167,12,,,
91,167,6,,,
101,167,4,,,
102,167,17,,,
105,167,5,,,
106,167,20,,,
107,167,5,,,
108,167,1,,,
117,167,3,,,
118,167,16,,,
120,167,1,,,
126,167,1,,,
139,167,4,,,
151,167,5,,,
153,167,1,,,
166,167,18,,,
168,167,47,,,
176,167,6,,,
178,167,1,,,
180,167,4,,,
181,167,2,,,
9,168,1,,,
20,168,12,,,
21,168,12,,,
22,168,7,,,
23,168,7,,,
25,168,2,,,
37,168,1,,,
38,168,1,,,
48,168,1,,,
54,168,2,,,
56,168,1,,,
71,168,1,,,
72,168,2,,,
84,168,1,,,
85,168,1,,,
87,168,2,,,
89,168,17,,,
90,168,11,,,
91,168,6,,,
99,168,1,,,
101,168,1,,,
102,168,20,,,
105,168,2,,,
106,168,17,,,
107,168,8,,,
108,168,1,,,
109,168,2,,,
116,168,4,,,
117,168,7,,,
118,168,29,,,
124,168,2,,,
126,168,1,,,
141,168,2,,,
142,168,2,,,
143,168,1,,,
151,168,6,,,
166,168,57,,,
167,168,47,,,
169,168,2,,,
170,168,2,,,
173,168,1,,,
175,168,1,,,
177,168,4,,,
180,168,5,,,
8,169,1,,,
9,169,13,,,
47,169,1,,,
48,169,3,,,
73,169,2,,,
85,169,2,,,
91,169,1,,,
107,169,1,,,
118,169,1,,,
125,169,1,,,
126,169,1,,,
139,169,2,,,
140,169,6,,,
141,169,3,,,
170,169,7,,,
171,169,2,,,
176,169,1,,,
8,170,10,,,
9,170,32,,,
25,170,1,,,
47,170,2,,,
48,170,17,,,
84,170,4,,,
85,170,4,,,
87,170,1,,,
90,170,1,,,
102,170,2,,,
104,170,2,,,
106,170,2,,,
107,170,4,,,
108,170,4,,,
118,170,1,,,
120,170,3,,,
125,170,1,,,
126,170,1,,,
129,170,2,,,
140,170,4,,,
142,170,1,,,
143,170,1,,,
166,170,1,,,
168,170,2,,,
169,170,10,,,
171,170,31,,,
177,170,1,,,
180,170,2,,,
8,171,3,,,
9,171,3,,,
25,171,1,,,
48,171,14,,,
58,171,1,,,
71,171,1,,,
82,171,2,,,
84,171,9,,,
85,171,2,,,
86,171,1,,,
102,171,2,,,
107,171,1,,,
108,171,2,,,
109,171,1,,,
118,171,1,,,
120,171,1,,,
124,171,5,,,
125,171,5,,,
126,171,2,,,
141,171,2,,,
169,171,8,,,
170,171,29,,,
176,171,3,,,
177,171,1,,,
73,172,2,,,
139,172,2,,,
7,173,1,,,
16,173,1,,,
22,173,1,,,
23,173,1,,,
24,173,7,,,
25,173,3,,,
76,173,2,,,
81,173,6,,,
82,173,1,,,
84,173,1,,,
85,173,3,,,
102,173,1,,,
104,173,7,,,
107,173,4,,,
109,173,2,,,
110,173,1,,,
111,173,1,,,
116,173,1,,,
119,173,1,,,
120,173,2,,,
125,173,1,,,
143,173,1,,,
152,173,2,,,
170,173,2,,,
174,173,5,,,
175,173,12,,,
176,173,1,,,
177,173,1,,,
24,174,1,,,
47,174,1,,,
81,174,6,,,
82,174,1,,,
104,174,2,,,
107,174,3,,,
108,174,4,,,
119,174,2,,,
173,174,5,,,
23,175,1,,,
41,175,1,,,
56,175,1,,,
81,175,1,,,
147,175,1,,,
173,175,10,,,
8,176,15,,,
9,176,2,,,
15,176,1,,,
16,176,4,,,
20,176,4,,,
21,176,6,,,
22,176,6,,,
23,176,4,,,
24,176,1,,,
25,176,1,,,
35,176,1,,,
38,176,1,,,
46,176,1,,,
47,176,21,,,
48,176,10,,,
57,176,1,,,
58,176,2,,,
68,176,2,,,
71,176,2,,,
73,176,3,,,
82,176,1,,,
85,176,1,,,
86,176,1,,,
89,176,1,,,
90,176,2,,,
92,176,1,,,
102,176,9,,,
104,176,6,,,
106,176,2,,,
107,176,29,,,
108,176,37,,,
109,176,4,,,
116,176,2,,,
117,176,1,,,
118,176,3,,,
119,176,6,,,
120,176,2,,,
124,176,13,,,
125,176,8,,,
129,176,1,,,
139,176,2,,,
140,176,3,,,
142,176,2,,,
143,176,2,,,
151,176,4,,,
152,176,6,,,
166,176,4,,,
167,176,6,,,
169,176,1,,,
171,176,4,,,
173,176,1,,,
177,176,17,,,
15,177,2,,,
16,177,1,,,
20,177,6,,,
21,177,8,,,
22,177,28,,,
23,177,8,,,
24,177,3,,,
38,177,1,,,
47,177,2,,,
48,177,3,,,
58,177,12,,,
59,177,2,,,
71,177,1,,,
72,177,2,,,
84,177,3,,,
86,177,1,,,
87,177,3,,,
88,177,2,,,
90,177,3,,,
93,177,1,,,
101,177,4,,,
102,177,7,,,
104,177,4,,,
107,177,16,,,
108,177,14,,,
109,177,2,,,
118,177,5,,,
119,177,4,,,
120,177,4,,,
124,177,2,,,
125,177,6,,,
129,177,1,,,
140,177,1,,,
142,177,6,,,
143,177,4,,,
151,177,10,,,
152,177,18,,,
153,177,1,,,
166,177,1,,,
168,177,3,,,
170,177,1,,,
171,177,1,,,
173,177,1,,,
176,177,19,,,
141,178,1,,,
167,178,1,,,
181,178,2,,,
35,179,1,,,
37,179,2,,,
39,179,1,,,
56,179,1,,,
67,179,1,,,
72,179,1,,,
89,179,9,,,
91,179,3,,,
102,179,1,,,
151,179,1,,,
153,179,2,,,
180,179,1,,,
183,179,8,,,
16,180,1,,,
39,180,2,,,
71,180,2,,,
72,180,3,,,
87,180,1,,,
89,180,32,,,
90,180,6,,,
