A,B,Trips,,,
101,22,1,,,
102,22,9,,,
104,22,1,,,
105,22,1,,,
106,22,1,,,
107,22,15,,,
108,22,17,,,
109,22,3,,,
116,22,5,,,
117,22,2,,,
118,22,3,,,
119,22,1,,,
124,22,1,,,
125,22,1,,,
139,22,2,,,
140,22,1,,,
142,22,4,,,
143,22,7,,,
151,22,25,,,
152,22,4,,,
166,22,9,,,
167,22,3,,,
168,22,10,,,
171,22,1,,,
173,22,1,,,
176,22,5,,,
177,22,35,,,
180,22,1,,,
5,23,1,,,
8,23,9,,,
15,23,1,,,
20,23,20,,,
21,23,8,,,
22,23,12,,,
47,23,12,,,
48,23,1,,,
53,23,1,,,
54,23,1,,,
58,23,1,,,
59,23,2,,,
90,23,1,,,
101,23,3,,,
102,23,4,,,
106,23,2,,,
107,23,4,,,
108,23,2,,,
109,23,1,,,
116,23,1,,,
117,23,1,,,
118,23,1,,,
119,23,2,,,
124,23,5,,,
125,23,1,,,
139,23,1,,,
143,23,2,,,
151,23,4,,,
155,23,1,,,
166,23,7,,,
168,23,3,,,
173,23,2,,,
176,23,1,,,
177,23,5,,,
180,23,6,,,
5,24,1,,,
25,24,19,,,
47,24,2,,,
48,24,4,,,
66,24,2,,,
67,24,1,,,
72,24,2,,,
73,24,3,,,
76,24,1,,,
81,24,2,,,
82,24,3,,,
84,24,8,,,
85,24,3,,,
86,24,4,,,
102,24,1,,,
104,24,9,,,
107,24,6,,,
108,24,8,,,
110,24,3,,,
111,24,12,,,
118,24,1,,,
119,24,13,,,
120,24,20,,,
124,24,1,,,
125,24,4,,,
126,24,3,,,
141,24,1,,,
142,24,2,,,
143,24,1,,,
152,24,1,,,
173,24,6,,,
174,24,1,,,
176,24,1,,,
177,24,3,,,
7,25,1,,,
16,25,1,,,
22,25,1,,,
24,25,17,,,
48,25,1,,,
54,25,1,,,
56,25,1,,,
58,25,1,,,
72,25,1,,,
81,25,6,,,
82,25,8,,,
84,25,1,,,
86,25,5,,,
104,25,41,,,
107,25,7,,,
108,25,1,,,
110,25,2,,,
111,25,2,,,
119,25,3,,,
120,25,3,,,
121,25,1,,,
